Spot_Price,STRIKE,DTE,DTB3,C_IV,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_LAST,C_BID,C_ASK,QUOTE_DATE,EXPIRE_DATE,BS_Call_Price,Percentage_Change
3852.969970703125,3855.0,7.0,4.41,0.18477,0.50236,0.00386,2.23492,-2.81339,0.40126,33.92,40.7,41.1,2023-01-04, 2023-01-11,39.94162644805056,-16.65847665847666
3852.969970703125,3860.0,7.0,4.41,0.17512,0.48094,0.00404,2.23265,-2.66987,0.3845,31.07,36.2,36.7,2023-01-04, 2023-01-11,35.441439339143244,-14.171270718232051
3852.969970703125,3865.0,7.0,4.41,0.17614,0.46137,0.00399,2.22387,-2.66242,0.36939,29.6,34.0,34.4,2023-01-04, 2023-01-11,33.3174536034544,-12.94117647058823
3852.969970703125,3870.0,7.0,4.41,0.17493,0.4403,0.00406,2.21033,-2.62266,0.35241,29.6,31.5,31.9,2023-01-04, 2023-01-11,30.82626887447464,-6.031746031746027
3852.969970703125,3875.0,7.0,4.41,0.17386,0.4209,0.00401,2.19103,-2.58575,0.33653,23.85,29.3,29.6,2023-01-04, 2023-01-11,28.472996582500627,-18.60068259385665
3852.969970703125,3880.0,7.0,4.41,0.174,0.40056,0.00393,2.16539,-2.54806,0.32106,22.4,27.2,27.6,2023-01-04, 2023-01-11,26.478718234964845,-17.647058823529417
3852.969970703125,3885.0,7.0,4.41,0.17281,0.38072,0.00393,2.1354,-2.50265,0.3049,22.11,25.2,25.6,2023-01-04, 2023-01-11,24.315653601304348,-12.261904761904761
3852.969970703125,3890.0,7.0,4.41,0.17279,0.3614,0.00382,2.099,-2.45294,0.28943,19.49,23.3,23.8,2023-01-04, 2023-01-11,22.49620363180929,-16.351931330472112
3852.969970703125,3895.0,7.0,4.41,0.1712,0.341,0.00384,2.05588,-2.37868,0.27343,17.5,21.4,21.7,2023-01-04, 2023-01-11,20.469125059129283,-18.224299065420553
3852.969970703125,3900.0,7.0,4.41,0.17064,0.32163,0.00371,2.01003,-2.31381,0.25806,16.4,19.7,20.0,2023-01-04, 2023-01-11,18.75114344417216,-16.751269035533
