DATE,CP0200USM086NEST
2023-01-01,131.37
2023-02-01,132.18
2023-03-01,132.63
2023-04-01,132.76
2023-05-01,133.36
2023-06-01,133.32
2023-07-01,133.55
2023-08-01,134.08
2023-09-01,134.48
2023-10-01,135.96
2023-11-01,136.46
2023-12-01,136.36
